Accuracy,Accuracy Validation,Loss,Loss Validation,,MEAN,Accuracy,Accuracy Validation,Loss,Loss Validation,,,STD,Accuracy,Accuracy Validation,Loss,Loss Validation
,,,,,,,,,,,,,,,,
Number Of features = ,23,,,,,0.86666,0.65,0.63074,1.28646,,,,0.240902881,0.418330013,0.357143456,1.097532962
,,,,,,,,,,,,,,,,
100.00%,100.00%,0.4438,0.627,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,100.00%,0.5452,0.6162,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,75.00%,0.566,0.8791,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44.44%,0.00%,1.2504,3.2179,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,50.00%,0.3483,1.0921,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,24,,,,,0.95556,0.55,0.49494,1.25048,,,,0.060851976,0.209165007,0.178167766,0.545226996
,,,,,,,,,,,,,,,,
100.00%,50.00%,0.4102,1.6556,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,75.00%,0.2733,0.7508,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,25.00%,0.4903,1.7947,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,75.00%,0.756,0.5909,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,50.00%,0.5449,1.4604,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,25,,,,,0.95556,0.6,0.446,1.29862,,,,0.060851976,0.285043856,0.154521439,0.699465233
,,,,,,,,,,,,,,,,
100.00%,50.00%,0.4806,0.9268,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,25.00%,0.3733,2.4621,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,75.00%,0.2749,0.9902,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.6882,1.4128,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,100.00%,0.413,0.7012,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,26,,,,,0.95556,0.7,0.48722,0.84182,,,,0.099370861,0.410791918,0.13597107,0.332251519
,,,,,,,,,,,,,,,,
100.00%,75.00%,0.4897,0.7833,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,0.00%,0.4895,1.4013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,75.00%,0.4509,0.8411,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,100.00%,0.6929,0.5925,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,100.00%,0.3131,0.5909,,,,,,,,,,,,,
